Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_Common_Unspecified,1,RaspberryPi_Pico,
"C1, C2, C5, C6, C7, C8",0603,6,6.8nF,
C10,0805,1,510pF,
C11,0805,1,360pF,
C12,0603,1,1.6nF,
C13,0805,1,22pF,
C14,CP_Elec_5x5.4,1,100uF,
C15,0805,1,10uF,
"C16, C18, C19, C20, C9",0805,5,100nF,
C17,CP_Elec_6.3x5.4,1,220uF,
"C3, C4",0805,2,1uF,
J1,BNC_TEConnectivity_1478204_Vertical,1,Conn_Coaxial,
J3,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,1,PJ-320BSurface Mount,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,2,Jumper_2_Open,
"R1, R2",0805,2,250,
"R3, R4",0805,2,10k,
"R5, R6",0805,2,4.7k,
R7,0805,1,10,
"TP1(Q)1, TP10 (ILO)1, TP13(RXNS)1, TP14(RXIN)1, TP2(0)1, TP3(I)1, TP6, TP7(90)1, TP8(180)1, TP9(QLO)1",TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,10,TestPoint,
U1,SOIC127P599X175-8N,1,TLV2172IDR,
U2,SOP65P640X120-16N,1,SN74CBT3253PWR,
Y1,MSOP-10_3x3mm_P0.5mm,1,MS5351M,
Y2,Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm,1,XC322525MOB4SA-18,
