Designator,Mid X,Mid Y,Rotation,Layer
A1,99.075,-37.885,0,top
C1,27.575,-34.6575,270,top
C10,18.675,-64.445,90,top
C11,32.09,-68.5,0,top
C12,29.77,-84.455,90,top
C13,83.525,-16.4325,180,top
C14,70.8625,-47.4325,180,top
C15,71.825,-41.4325,0,top
C16,71.575,-34.9325,0,top
C17,71.075,-23.4325,180,top
C18,63.9125,-22.52,90,top
C19,28.82,-90.73,0,top
C2,50.075,-34.7075,270,top
C20,83.525,-13.9325,180,top
C3,30.575,-27.3825,270,top
C4,47.575,-27.7375,270,top
C5,42.35,-41.9325,0,top
C6,28.575,-38.2475,0,top
C7,35.525,-41.7475,180,top
C8,48.975,-38.2475,180,top
C9,29.09,-64.2675,0,top
J1,19,-95.845,270,top
J3,39.075,-17.9325,0,top
R1,30.525,-34.66,270,top
R2,47.525,-34.7475,270,top
R3,32.1775,-59.2675,0,top
R4,27.0025,-59.1625,0,top
R5,83.2825,-32.1825,180,top
R6,83.695,-36.1825,180,top
R7,73.1625,-53.345,180,top
U1,39.995,-36.2475,270,top
U2,40.075,-53.4325,180,top
Y1,83.575,-22.545,0,top
Y2,77.545,-27.7825,270,top
